score_differential,oneScoreGame,period,seconds_remaining,secondsInHalf,yardsToGoal,down,distance,play_type
4,TRUE,4,763,763,7,3,5,Pass
0,TRUE,1,3088,1288,9,3,9,Pass
0,TRUE,1,3096,1296,9,2,9,Pass
0,TRUE,1,3394,1594,57,1,10,Pass
0,TRUE,2,2171,371,68,3,3,Pass
-3,TRUE,1,2732,932,29,3,5,Pass
-3,TRUE,1,3028,1228,94,1,10,Pass
-3,TRUE,2,2643,843,88,3,6,Pass
-3,TRUE,2,2679,879,92,1,10,Pass
0,TRUE,1,3521,1721,81,3,3,Pass
0,TRUE,1,3373,1573,60,2,6,Pass
-3,TRUE,2,2248,448,88,3,7,Pass
0,TRUE,1,3582,1782,35,1,10,Pass
0,TRUE,1,3533,1733,33,3,8,Pass
0,TRUE,1,3399,1599,51,2,10,Pass
7,TRUE,1,3117,1317,33,1,10,Pass
7,TRUE,1,2990,1190,4,2,4,Pass
7,TRUE,1,2986,1186,4,3,4,Pass
10,FALSE,1,2726,926,26,3,10,Pass
10,FALSE,1,2799,999,67,2,9,Pass
10,FALSE,1,2733,933,26,1,10,Pass
10,FALSE,1,2730,930,26,2,10,Pass
-7,TRUE,1,3234,1434,75,1,10,Pass
0,TRUE,1,2709,909,21,1,15,Pass
0,TRUE,1,2805,1005,27,1,10,Pass
0,TRUE,1,2918,1118,51,2,5,Pass
3,TRUE,2,2460,660,15,2,5,Pass
-7,TRUE,1,3274,1474,12,3,5,Pass
-7,TRUE,1,3526,1726,85,1,20,Pass
-7,TRUE,1,3446,1646,59,1,10,Pass
0,TRUE,2,2100,300,74,1,10,Pass
0,TRUE,2,2094,294,74,2,10,Pass
0,TRUE,2,2087,287,74,3,10,Pass
0,TRUE,2,1838,38,24,3,22,Pass
0,TRUE,2,1844,44,24,2,22,Pass
-4,TRUE,3,984,984,78,3,10,Pass
-4,TRUE,4,884,884,76,1,10,Pass
-4,TRUE,4,881,881,76,2,10,Pass
-4,TRUE,4,876,876,76,3,10,Pass
-4,TRUE,4,631,631,89,2,1,Pass
-4,TRUE,4,530,530,78,3,1,Pass
-4,TRUE,4,199,199,55,3,6,Pass
-11,FALSE,4,30,30,8,2,8,Pass
-11,FALSE,4,45,45,8,1,8,Pass
-11,FALSE,4,60,60,37,1,10,Pass
-11,FALSE,4,119,119,79,1,10,Pass
-17,FALSE,2,1872,72,89,1,15,Pass
-17,FALSE,3,1796,1796,75,1,10,Pass
-17,FALSE,3,1525,1525,79,2,9,Pass
-17,FALSE,3,1519,1519,79,3,9,Pass
-31,FALSE,4,663,663,5,4,5,Pass
-31,FALSE,4,840,840,58,3,4,Pass
-31,FALSE,4,873,873,64,1,10,Pass
-31,FALSE,3,902,902,75,1,10,Pass
-31,FALSE,4,433,433,40,2,10,Pass
-31,FALSE,4,442,442,40,1,10,Pass
-30,FALSE,4,164,164,80,3,6,Pass
-3,TRUE,2,2144,344,80,1,10,Pass
-3,TRUE,2,2139,339,80,2,10,Pass
-3,TRUE,2,1881,81,68,1,10,Pass
