home_game,score_differential,oneScoreGame,period,seconds_remaining,secondsInHalf,yard50,yardsToGoal,down,distance,yards_gained,year,play_type
TRUE,4,TRUE,1,3108,1308,32,32,4,2,0,2015,Pass
TRUE,0,TRUE,1,3401,1601,32,32,3,10,0,2017,Pass
TRUE,0,TRUE,1,3406,1606,32,32,2,10,0,2017,Pass
TRUE,0,TRUE,1,3440,1640,32,32,1,10,0,2017,Pass
TRUE,7,TRUE,1,2708,908,32,32,4,3,-10,2017,Pass
TRUE,14,FALSE,2,2085,285,32,32,2,4,-13,2019,Pass
TRUE,7,TRUE,2,2000,200,32,32,1,10,9,2017,Pass
TRUE,4,TRUE,1,3167,1367,33,33,2,3,1,2015,Pass
TRUE,11,FALSE,1,2946,1146,33,33,2,3,15,2015,Pass
TRUE,-14,FALSE,1,2974,1174,33,33,4,3,-68,2016,Pass
TRUE,-7,TRUE,1,2986,1186,33,33,3,3,0,2016,Pass
TRUE,0,TRUE,1,2825,1025,33,33,3,4,3,2018,Pass
TRUE,0,TRUE,1,3393,1593,33,33,3,6,-15,2015,Pass
TRUE,0,TRUE,1,3398,1598,33,33,2,6,0,2015,Pass
TRUE,24,FALSE,2,1807,7,33,33,2,11,33,2017,Pass
TRUE,-6,TRUE,2,2695,895,33,33,3,8,0,2017,Pass
TRUE,-6,TRUE,2,2685,885,33,33,4,8,18,2017,Pass
TRUE,0,TRUE,2,2660,860,33,33,1,10,5,2015,Pass
TRUE,18,FALSE,3,960,960,33,33,2,9,8,2019,Pass
TRUE,35,FALSE,3,1721,1721,33,33,2,8,16,2016,Pass
TRUE,15,FALSE,4,891,891,33,33,2,7,41,2016,Pass
TRUE,22,FALSE,4,85,85,33,33,1,10,3,2017,Pass
TRUE,7,TRUE,1,3318,1518,34,34,1,10,0,2016,Pass
TRUE,7,TRUE,1,2755,955,34,34,3,5,2,2017,Pass
TRUE,15,FALSE,2,2139,339,34,34,2,5,0,2015,Pass
TRUE,15,FALSE,2,2130,330,34,34,3,5,13,2015,Pass
TRUE,18,FALSE,2,1835,35,34,34,1,10,14,2016,Pass
TRUE,-3,TRUE,2,2375,575,34,34,3,3,14,2018,Pass
TRUE,0,TRUE,2,2580,780,34,34,1,10,9,2015,Pass
TRUE,14,FALSE,2,2116,316,34,34,3,1,0,2015,Pass
TRUE,14,FALSE,2,2111,311,34,34,4,1,-8,2015,Pass
TRUE,7,TRUE,2,2450,650,34,34,1,10,13,2019,Pass
TRUE,21,FALSE,3,1549,1549,34,34,1,10,4,2015,Pass
TRUE,14,FALSE,3,1080,1080,34,34,4,6,20,2016,Pass
TRUE,53,FALSE,4,550,550,34,34,2,11,0,2016,Pass
TRUE,53,FALSE,4,525,525,34,34,3,11,9,2016,Pass
